                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                 1.3973,                 1.2637,                 1.7967,                0.61897,                0.69636,                0.67134,                0.26402,                 1.9894,                 4.3828,                 1.9701,              0.0018674,              0.0018674,              0.0018674
                     13,                  1.413,                 1.1903,                 1.7933,                0.68795,                0.82857,                0.78017,                0.33001,                 1.9675,                 2.9244,                 1.9552,              0.0018403,              0.0018403,              0.0018403
                     14,                 1.4361,                 1.2172,                  1.797,                0.74928,                0.54286,                 0.6065,                0.18642,                 2.3072,                 2.7007,                 2.1675,              0.0018109,              0.0018109,              0.0018109
                     15,                 1.4054,                 1.1752,                 1.7897,                0.58581,                0.57143,                0.56414,                0.16707,                  2.472,                 1.9869,                 2.4381,              0.0017794,              0.0017794,              0.0017794
                     16,                 1.3193,                 1.1579,                 1.7216,                 0.8736,                0.79011,                0.89376,                0.31894,                 1.9943,                 1.9109,                  1.925,              0.0017457,              0.0017457,              0.0017457
                     17,                 1.3626,                 1.1503,                 1.7396,                0.82502,                0.80846,                0.84485,                0.32925,                 2.0534,                 1.5815,                 2.1079,                0.00171,                0.00171,                0.00171
                     18,                 1.3222,                 1.0844,                 1.7076,                0.92023,                0.82857,                0.89845,                0.40709,                 1.8849,                 1.4473,                 1.9655,              0.0016724,              0.0016724,              0.0016724
                     19,                 1.3127,                 1.0479,                 1.7078,                0.76413,                0.88571,                0.84938,                0.40152,                 1.7738,                 1.3555,                 1.7996,               0.001633,               0.001633,               0.001633
                     20,                 1.2536,                 1.0013,                 1.6403,                0.79334,                0.87763,                0.84993,                0.30944,                  2.038,                 1.5526,                 1.9633,              0.0015919,              0.0015919,              0.0015919
                     21,                 1.2553,                0.98072,                 1.6474,                0.76127,                0.85714,                0.78133,                0.23335,                 2.2641,                 1.3829,                 2.2055,              0.0015492,              0.0015492,              0.0015492
                     22,                  1.216,                0.92875,                 1.6295,                0.65477,                0.77143,                0.65422,                0.24979,                 2.0562,                  1.452,                 1.9472,               0.001505,               0.001505,               0.001505
                     23,                 1.2463,                0.90211,                 1.6028,                0.85527,                0.85714,                0.86464,                0.36334,                  2.161,                  1.179,                 1.9627,              0.0014595,              0.0014595,              0.0014595
                     24,                 1.2265,                0.93742,                 1.6167,                0.96732,                0.84581,                 0.9261,                0.35291,                 2.1385,                 1.2116,                 2.0198,              0.0014127,              0.0014127,              0.0014127
                     25,                 1.1913,                0.88547,                 1.5854,                0.81582,                0.68571,                0.74581,                0.23556,                 2.3422,                 1.3606,                 2.1673,              0.0013648,              0.0013648,              0.0013648
                     26,                 1.1714,                 0.9019,                 1.5902,                 0.7794,                0.94286,                0.90586,                0.30613,                 2.1223,                 1.3674,                 2.0001,              0.0013159,              0.0013159,              0.0013159
                     27,                 1.1373,                0.87115,                  1.537,                0.73591,                    0.8,                0.82742,                 0.3083,                 2.0728,                 1.1939,                 1.9182,              0.0012662,              0.0012662,              0.0012662
                     28,                 1.2028,                 0.8457,                 1.5901,                0.76616,                    0.8,                0.79157,                0.31842,                 2.1483,                 1.2895,                 2.0128,              0.0012158,              0.0012158,              0.0012158
                     29,                 1.1093,                0.85965,                 1.5374,                0.83335,                0.85714,                0.87447,                0.32753,                 2.0551,                 1.1344,                 1.9382,              0.0011649,              0.0011649,              0.0011649
                     30,                 1.1435,                0.80591,                 1.5646,                0.84709,                0.88571,                  0.906,                0.38541,                 1.9429,                  1.227,                 1.8607,              0.0011135,              0.0011135,              0.0011135
                     31,                 1.1411,                0.83464,                 1.5409,                0.33531,                0.57143,                0.32383,                0.10764,                 2.4888,                 1.8477,                 2.3621,              0.0010618,              0.0010618,              0.0010618
                     32,                 1.1153,                0.81695,                 1.5435,                0.91335,                0.91429,                0.93803,                0.45958,                 1.6284,                 1.1199,                 1.6013,                0.00101,                0.00101,                0.00101
                     33,                 1.1279,                0.81278,                 1.5451,                0.89447,                0.96879,                0.91313,                0.43926,                 1.7893,                 1.0839,                 1.7711,             0.00095819,             0.00095819,             0.00095819
                     34,                 1.0698,                0.79688,                 1.4986,                0.86887,                0.91429,                0.90233,                0.44802,                 1.7562,                 1.0813,                 1.7169,             0.00090652,             0.00090652,             0.00090652
                     35,                 1.0762,                0.75833,                 1.4933,                0.90193,                0.91429,                0.91432,                0.39475,                 1.9966,                 1.0903,                 1.8778,             0.00085513,             0.00085513,             0.00085513
                     36,                  1.043,                0.74501,                 1.4692,                0.92233,                0.88571,                0.93237,                0.44763,                 1.8322,                 1.0678,                 1.7649,             0.00080417,             0.00080417,             0.00080417
                     37,                0.99825,                0.72235,                 1.4281,                 0.9003,                0.77409,                0.89488,                0.41153,                 1.7991,                 1.1659,                 1.7299,             0.00075377,             0.00075377,             0.00075377
                     38,                 1.0087,                0.72024,                 1.4475,                0.97734,                0.85714,                0.94499,                0.46012,                 1.7587,                 1.0896,                 1.6977,             0.00070407,             0.00070407,             0.00070407
                     39,                  1.024,                0.69996,                  1.469,                0.95827,                0.91429,                0.97018,                0.42597,                 1.9256,                 1.0406,                 1.8503,             0.00065522,             0.00065522,             0.00065522
                     40,                 1.0255,                0.70535,                 1.4599,                0.90339,                0.94286,                0.93599,                0.51044,                 1.6043,                 1.0422,                 1.6144,             0.00060733,             0.00060733,             0.00060733
                     41,                0.98431,                0.69002,                 1.4216,                0.91608,                0.93576,                0.95798,                0.49623,                 1.6602,                0.89924,                 1.6629,             0.00056055,             0.00056055,             0.00056055
                     42,                0.97506,                0.65988,                 1.4347,                0.92787,                0.94286,                0.95242,                 0.5197,                  1.659,                0.96496,                 1.6514,               0.000515,               0.000515,               0.000515
                     43,                0.93594,                0.65655,                 1.3844,                0.95278,                0.94286,                0.94985,                 0.5078,                 1.6142,                0.95903,                 1.6386,             0.00047081,             0.00047081,             0.00047081
                     44,                0.96599,                0.66777,                 1.4152,                0.91082,                0.94286,                0.94657,                 0.4906,                 1.7042,                0.95128,                 1.6662,             0.00042809,             0.00042809,             0.00042809
                     45,                0.92382,                0.63866,                  1.368,                0.90919,                0.94286,                0.92652,                0.47419,                 1.7293,                0.98061,                 1.7088,             0.00038697,             0.00038697,             0.00038697
                     46,                0.96634,                0.65058,                 1.4237,                0.96961,                0.94286,                0.95797,                0.48547,                 1.7588,                0.89326,                 1.7188,             0.00034756,             0.00034756,             0.00034756
                     47,                0.93068,                 0.6296,                 1.3681,                0.97054,                 0.9413,                0.96379,                 0.4982,                 1.7455,                0.92428,                 1.7061,             0.00030996,             0.00030996,             0.00030996
                     48,                0.90823,                0.62318,                 1.3753,                0.95702,                0.94286,                0.95905,                0.49431,                 1.6853,                0.90105,                 1.6724,             0.00027429,             0.00027429,             0.00027429
                     49,                 0.9125,                0.61209,                 1.3794,                0.94129,                0.91628,                0.96023,                0.51654,                 1.6563,                0.91006,                 1.6276,             0.00024063,             0.00024063,             0.00024063
                     50,                0.88333,                0.59962,                 1.3441,                0.97042,                0.93762,                0.95856,                0.53166,                 1.5715,                0.87486,                 1.5763,             0.00020907,             0.00020907,             0.00020907
                     51,                0.90427,                0.60716,                 1.3444,                0.96865,                0.88287,                0.94568,                0.52014,                 1.5463,                0.91826,                 1.5603,             0.00017972,             0.00017972,             0.00017972
                     52,                0.87743,                0.60233,                 1.3364,                0.97038,                0.93603,                 0.9543,                0.51896,                 1.5599,                 0.9124,                 1.5822,             0.00015263,             0.00015263,             0.00015263
                     53,                0.85886,                0.59142,                 1.3137,                0.94244,                0.93569,                0.95494,                0.51941,                 1.6131,                0.93544,                 1.6216,              0.0001279,              0.0001279,              0.0001279
                     54,                0.88419,                0.58868,                 1.3283,                0.97138,                0.96978,                0.95876,                0.52771,                 1.5605,                0.91805,                 1.5822,             0.00010559,             0.00010559,             0.00010559
                     55,                0.87913,                 0.5926,                 1.3308,                0.94314,                0.91429,                0.95699,                0.52904,                 1.5773,                0.91248,                 1.5899,             8.5755e-05,             8.5755e-05,             8.5755e-05
                     56,                0.83653,                0.59603,                    1.3,                0.91512,                0.85714,                0.94337,                0.51903,                 1.5915,                0.92867,                 1.5757,             6.8454e-05,             6.8454e-05,             6.8454e-05
                     57,                0.83157,                0.58276,                 1.2979,                0.93894,                0.87882,                0.94475,                0.51624,                  1.536,                0.91734,                 1.5439,             5.3733e-05,             5.3733e-05,             5.3733e-05
                     58,                0.81744,                0.57479,                 1.2971,                0.91292,                0.88571,                0.94603,                0.51521,                 1.5454,                0.91849,                 1.5552,             4.1634e-05,             4.1634e-05,             4.1634e-05
                     59,                0.82781,                0.56837,                 1.3137,                0.88854,                0.88571,                0.94396,                0.52008,                 1.5691,                0.92562,                 1.5712,             3.2189e-05,             3.2189e-05,             3.2189e-05
                     60,                0.83645,                0.57482,                 1.2912,                0.92513,                0.88571,                0.94511,                0.51721,                 1.5355,                0.91448,                 1.5528,             2.5423e-05,             2.5423e-05,             2.5423e-05
