                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8092,                 4.0454,                 2.1761,                0.00286,                0.85714,                0.01595,                0.00504,                 1.6585,                 4.0129,                 1.9389,                 0.0004,                 0.0004,                 0.0004
                      2,                 1.5934,                 3.1178,                 1.9777,                0.29918,                0.05714,                0.03985,                0.01109,                 2.0371,                 4.3613,                  2.702,             0.00081944,             0.00081944,             0.00081944
                      3,                 1.5565,                 2.6436,                 1.9435,                0.22513,                0.37143,                0.15293,                0.04087,                 2.0317,                 3.2558,                 2.8142,              0.0012366,              0.0012366,              0.0012366
                      4,                 1.5368,                 2.3022,                 1.9352,                0.22227,                0.45714,                0.15154,                0.05199,                 2.2555,                 3.2174,                 2.5446,              0.0016499,              0.0016499,              0.0016499
                      5,                 1.5413,                 2.0115,                 1.8842,                0.19929,                0.43383,                0.14904,                0.05905,                 2.1972,                 4.4067,                  2.329,              0.0019784,              0.0019784,              0.0019784
                      6,                 1.5998,                 1.8974,                 1.9636,                0.16618,                0.17143,                0.08468,                0.02489,                 2.9624,                 12.235,                 3.6463,              0.0019784,              0.0019784,              0.0019784
                      7,                 1.5552,                 1.7357,                 1.9238,                 0.0019,                0.11429,                0.00108,                0.00043,                 2.4865,                 11.889,                 3.5491,              0.0019663,              0.0019663,              0.0019663
                      8,                 1.5213,                   1.57,                 1.9201,                0.09389,                0.37143,                0.06931,                0.01711,                 2.7299,                 4.1172,                 2.7842,              0.0019515,              0.0019515,              0.0019515
                      9,                 1.4593,                 1.3761,                 1.8614,                0.02586,                0.11429,                0.00977,                0.00297,                 2.7021,                 5.3139,                 3.0816,              0.0019342,              0.0019342,              0.0019342
                     10,                 1.5101,                 1.3265,                  1.854,                0.78609,                0.37143,                0.48313,                0.19926,                   2.22,                 2.8034,                 2.2479,              0.0019144,              0.0019144,              0.0019144
                     11,                 1.4448,                 1.2918,                 1.8234,                0.13868,                0.42857,                0.10017,                0.04228,                 2.1174,                 4.4627,                 2.1219,              0.0018921,              0.0018921,              0.0018921
