                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0153,                 5.2251,                 1.8719,                0.00333,                      1,                0.17502,                0.04029,                 1.4727,                 3.7963,                 1.6794,                0.00052,                0.00052,                0.00052
                      2,                 1.7988,                 3.9541,                 1.7455,                0.25827,                0.11429,                0.07108,                0.02035,                 1.9725,                 3.6508,                 2.3238,              0.0010596,              0.0010596,              0.0010596
                      3,                 1.8182,                 3.7168,                  1.746,                0.29109,                0.37143,                0.26595,                0.06169,                  2.277,                 5.4553,                 2.4701,              0.0015976,              0.0015976,              0.0015976
                      4,                 1.8673,                 3.2021,                 1.7513,                0.37765,                0.36425,                0.27336,                0.09432,                 2.3132,                 3.7474,                 2.6143,              0.0019931,              0.0019931,              0.0019931
                      5,                 1.7484,                 2.7734,                 1.7068,                0.51391,                0.42857,                 0.3893,                0.13227,                 2.4913,                 2.8031,                 2.8742,              0.0019931,              0.0019931,              0.0019931
                      6,                 1.8089,                 2.4567,                 1.7063,                0.01747,                0.17143,                 0.0093,                0.00237,                 2.7566,                 16.447,                 3.9124,              0.0019878,              0.0019878,              0.0019878
                      7,                 1.7402,                 2.2705,                 1.6791,                0.31587,                0.11429,                0.08776,                0.02405,                 2.4527,                 3.3659,                 3.0356,               0.001981,               0.001981,               0.001981
                      8,                 1.7539,                 1.9785,                  1.699,                0.30383,                0.37143,                0.20898,                0.04466,                 2.6155,                 3.0259,                 2.3266,              0.0019726,              0.0019726,              0.0019726
                      9,                 1.6813,                  1.775,                 1.5406,                0.21352,                0.14286,                 0.0979,                0.02411,                 2.5518,                 3.3087,                 2.2397,              0.0019628,              0.0019628,              0.0019628
                     10,                 1.7225,                 1.7376,                 1.6481,                0.43088,                0.31429,                0.27735,                 0.1092,                 2.3057,                 2.2256,                  2.023,              0.0019515,              0.0019515,              0.0019515
                     11,                 1.6313,                 1.6869,                 1.6086,                0.61702,                0.50656,                0.50591,                0.18905,                 2.5193,                 2.1589,                 2.0615,              0.0019388,              0.0019388,              0.0019388
                     12,                 1.6271,                 1.5706,                 1.5938,                0.59963,                0.55651,                0.53389,                0.17971,                 2.4118,                 1.8426,                 1.9794,              0.0019246,              0.0019246,              0.0019246
                     13,                  1.603,                 1.5447,                 1.5982,                0.43454,                0.61491,                0.54525,                0.17184,                 2.1511,                 2.5251,                 1.9831,              0.0019091,              0.0019091,              0.0019091
                     14,                 1.6539,                 1.5641,                   1.61,                0.72374,                0.77143,                0.75056,                0.28931,                 1.9449,                 1.4465,                 1.7069,              0.0018921,              0.0018921,              0.0018921
                     15,                 1.6308,                 1.5191,                 1.5895,                0.50868,                    0.6,                0.49612,                0.19553,                 2.0258,                  1.804,                 1.7007,              0.0018738,              0.0018738,              0.0018738
                     16,                 1.6043,                 1.5069,                 1.5623,                0.65328,                0.74286,                0.60877,                0.20311,                 2.3755,                 1.7878,                 2.0424,              0.0018541,              0.0018541,              0.0018541
                     17,                 1.5496,                 1.5117,                 1.5373,                0.76118,                    0.8,                 0.7655,                0.25394,                 2.1054,                 1.3658,                 1.8757,              0.0018332,              0.0018332,              0.0018332
                     18,                 1.5443,                 1.4205,                 1.5391,                0.65288,                0.65714,                0.68315,                0.25595,                 2.3364,                 1.4929,                 1.9959,              0.0018109,              0.0018109,              0.0018109
                     19,                 1.5819,                 1.4772,                 1.5693,                0.62082,                0.68571,                0.62763,                0.21325,                 2.6243,                 1.5206,                 2.2766,              0.0017875,              0.0017875,              0.0017875
                     20,                 1.5493,                 1.3053,                 1.5021,                0.74489,                0.91429,                0.85213,                0.40015,                  1.659,                 1.1366,                 1.4979,              0.0017628,              0.0017628,              0.0017628
                     21,                 1.4709,                 1.3266,                 1.4644,                0.84424,                 0.7744,                0.82152,                0.27229,                 2.1134,                 1.2964,                 1.8512,               0.001737,               0.001737,               0.001737
                     22,                 1.4903,                 1.2772,                 1.5206,                0.85567,                0.84716,                0.82038,                0.36569,                 1.7435,                 1.2428,                 1.6281,                0.00171,                0.00171,                0.00171
                     23,                 1.3981,                 1.2418,                  1.453,                0.72292,                0.74286,                0.74034,                0.26125,                 2.1544,                 1.3323,                 1.8451,               0.001682,               0.001682,               0.001682
                     24,                 1.5121,                 1.2078,                 1.5659,                0.78847,                    0.8,                0.80569,                0.31026,                 2.1596,                 1.2093,                 1.8984,               0.001653,               0.001653,               0.001653
                     25,                  1.522,                 1.2864,                 1.5507,                0.86647,                    0.8,                0.80878,                0.32485,                  2.119,                 1.1908,                 1.9394,              0.0016229,              0.0016229,              0.0016229
                     26,                 1.4876,                 1.2452,                 1.5219,                0.65657,                0.71429,                0.67716,                0.23296,                 2.5216,                 1.4206,                 2.2707,              0.0015919,              0.0015919,              0.0015919
                     27,                 1.4251,                 1.2083,                 1.4716,                0.30456,                0.62857,                0.37726,                0.12177,                 2.5378,                 1.8802,                 2.1366,                0.00156,                0.00156,                0.00156
                     28,                 1.4514,                 1.2455,                 1.4757,                0.55473,                    0.6,                0.54155,                0.19612,                 2.2558,                 1.4703,                 1.8833,              0.0015273,              0.0015273,              0.0015273
                     29,                  1.375,                 1.1503,                 1.4784,                0.77708,                0.91429,                 0.8438,                0.29901,                 2.1522,                 1.2751,                  1.866,              0.0014937,              0.0014937,              0.0014937
                     30,                 1.4563,                 1.1843,                 1.4895,                0.81382,                0.71429,                0.77975,                0.26186,                 2.2806,                 1.4641,                 2.0014,              0.0014595,              0.0014595,              0.0014595
                     31,                 1.3214,                  1.181,                 1.4221,                0.78876,                0.82857,                0.84066,                0.39747,                 1.8527,                 1.3057,                 1.7019,              0.0014245,              0.0014245,              0.0014245
                     32,                 1.3378,                 1.1895,                 1.4558,                0.45982,                0.58387,                 0.5399,                0.19753,                 1.9278,                 1.6177,                 1.7539,              0.0013889,              0.0013889,              0.0013889
                     33,                 1.3238,                 1.1873,                 1.4278,                0.87251,                0.85714,                0.84301,                0.29465,                  1.982,                 1.2826,                 1.8161,              0.0013527,              0.0013527,              0.0013527
                     34,                 1.3715,                 1.1707,                 1.4854,                0.80335,                0.85714,                0.86396,                0.32032,                 2.2034,                 1.3114,                 1.9888,              0.0013159,              0.0013159,              0.0013159
                     35,                 1.3937,                 1.1219,                 1.4313,                0.84634,                0.97143,                0.94147,                0.42308,                 1.9431,                  1.164,                 1.7551,              0.0012787,              0.0012787,              0.0012787
                     36,                  1.279,                 1.0987,                 1.3987,                0.82408,                0.71429,                0.82086,                0.35695,                   2.16,                 1.2613,                 1.8946,              0.0012411,              0.0012411,              0.0012411
                     37,                 1.3444,                 1.0771,                 1.4142,                0.47745,                0.62857,                0.55466,                0.21791,                 2.0941,                 1.5103,                  1.808,              0.0012031,              0.0012031,              0.0012031
                     38,                 1.3359,                 1.0647,                 1.4018,                0.59805,                0.74286,                0.61835,                0.18921,                 2.4268,                 1.5699,                 2.1145,              0.0011649,              0.0011649,              0.0011649
                     39,                 1.2992,                  1.004,                 1.3797,                0.67554,                0.71386,                0.73259,                 0.3225,                 2.0066,                 1.3236,                 1.8062,              0.0011264,              0.0011264,              0.0011264
                     40,                 1.2758,                0.99924,                 1.3881,                0.82431,                0.93847,                0.92729,                0.36611,                 2.1174,                 1.1835,                  1.889,              0.0010877,              0.0010877,              0.0010877
                     41,                  1.287,                 1.0055,                 1.3927,                0.67919,                0.90746,                0.81028,                0.33148,                 2.0103,                 1.1764,                 1.7537,              0.0010489,              0.0010489,              0.0010489
                     42,                  1.301,                 1.0417,                  1.401,                0.93416,                0.94286,                0.94973,                0.47816,                 1.5223,                0.86693,                 1.4793,                0.00101,                0.00101,                0.00101
                     43,                 1.3034,                 1.0531,                   1.38,                0.61612,                0.71429,                0.66655,                0.20158,                 2.6825,                 1.4524,                 2.4928,             0.00097113,             0.00097113,             0.00097113
                     44,                 1.3141,                 1.0317,                 1.4317,                 0.8642,                0.90926,                 0.9028,                0.33709,                 2.3309,                 1.2278,                 2.1054,             0.00093233,             0.00093233,             0.00093233
                     45,                 1.3235,                 1.0845,                 1.3996,                0.66788,                 0.6321,                0.70829,                0.27435,                 2.2931,                 1.5549,                 2.0571,             0.00089364,             0.00089364,             0.00089364
                     46,                 1.2549,                   1.01,                 1.3569,                0.86659,                0.74235,                0.80293,                0.34069,                 2.0365,                 1.2005,                 1.8359,             0.00085513,             0.00085513,             0.00085513
