                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.2059,                0.99544,                 1.3123,                0.80084,                0.42857,                0.60924,                0.22269,                 2.2048,                 1.6313,                 1.9009,             0.00081686,             0.00081686,             0.00081686
                     48,                 1.2963,                  0.969,                 1.3681,                0.91015,                0.97143,                0.95312,                0.41001,                 1.9539,                0.97198,                 1.8021,             0.00077889,             0.00077889,             0.00077889
                     49,                 1.1782,                0.95589,                 1.3536,                 0.7258,                0.54286,                0.69471,                0.27344,                 2.1408,                  1.396,                 1.9433,             0.00074127,             0.00074127,             0.00074127
                     50,                 1.2201,                0.91877,                 1.3569,                0.73471,                0.85714,                0.87911,                0.42825,                 1.8233,                 1.1761,                 1.6981,             0.00070407,             0.00070407,             0.00070407
                     51,                 1.1965,                0.96638,                 1.3492,                0.50506,                0.42857,                 0.5016,                0.19088,                 2.3272,                 2.1205,                 2.0392,             0.00066734,             0.00066734,             0.00066734
                     52,                 1.1961,                0.91654,                 1.3646,                0.86838,                0.91429,                0.93013,                0.41548,                 1.9886,                 1.0859,                 1.8213,             0.00063114,             0.00063114,             0.00063114
                     53,                 1.2193,                 0.9235,                 1.3602,                0.75148,                0.88571,                 0.8658,                0.34182,                 2.2502,                 1.2777,                 2.0223,             0.00059553,             0.00059553,             0.00059553
                     54,                 1.1965,                0.92289,                 1.3253,                0.96648,                0.82394,                0.90606,                0.38917,                 1.9776,                 1.1359,                 1.8096,             0.00056055,             0.00056055,             0.00056055
                     55,                 1.1546,                0.88743,                 1.2992,                0.96646,                0.91429,                0.95335,                  0.428,                 1.9318,                 1.0017,                 1.7604,             0.00052626,             0.00052626,             0.00052626
                     56,                 1.1942,                0.91083,                 1.3131,                0.94035,                0.90107,                 0.9487,                0.43563,                 1.8147,                0.95909,                 1.6961,             0.00049273,             0.00049273,             0.00049273
                     57,                 1.1165,                0.85842,                 1.2772,                0.88736,                0.91429,                0.94482,                0.46217,                 1.8007,                 0.9708,                 1.6913,             0.00045999,             0.00045999,             0.00045999
                     58,                  1.104,                0.86738,                 1.2928,                0.86523,                0.91719,                 0.9487,                0.43128,                 1.8659,                 1.0173,                  1.752,             0.00042809,             0.00042809,             0.00042809
                     59,                 1.1471,                0.83937,                 1.2975,                0.79178,                0.91429,                 0.9107,                 0.4016,                 1.9342,                 1.1386,                 1.7936,              0.0003971,              0.0003971,              0.0003971
                     60,                 1.1586,                0.83614,                 1.2919,                 0.7665,                0.91429,                0.92359,                0.38586,                 1.9836,                  1.101,                 1.8447,             0.00036705,             0.00036705,             0.00036705
                     61,                 1.1208,                0.81931,                 1.2908,                0.83513,                0.88571,                0.93186,                0.41095,                 1.9567,                 1.0446,                 1.8085,             0.00033799,             0.00033799,             0.00033799
                     62,                 1.0882,                0.83454,                 1.2725,                0.76878,                0.95011,                0.92751,                0.47441,                 1.6799,                 1.0015,                 1.5709,             0.00030996,             0.00030996,             0.00030996
                     63,                  1.143,                0.84569,                 1.2849,                0.86379,                0.85714,                0.94058,                0.41342,                 1.9983,                 1.0316,                 1.8308,             0.00028302,             0.00028302,             0.00028302
                     64,                 1.1176,                0.81229,                 1.2672,                0.90628,                0.88571,                0.94319,                0.44582,                 1.8465,                0.93922,                 1.7092,              0.0002572,              0.0002572,              0.0002572
                     65,                 1.1373,                0.82124,                 1.2917,                0.83201,                 0.8492,                0.91932,                0.44014,                 1.8909,                 1.1347,                 1.7208,             0.00023254,             0.00023254,             0.00023254
                     66,                 1.0428,                0.79144,                  1.227,                0.80172,                0.80883,                0.90963,                0.41891,                 1.8892,                 1.0902,                 1.7503,             0.00020907,             0.00020907,             0.00020907
                     67,                 1.0542,                0.77815,                 1.2398,                0.79753,                0.91429,                0.91865,                0.43215,                 1.8323,                0.98388,                 1.6986,             0.00018685,             0.00018685,             0.00018685
                     68,                 1.1449,                0.81173,                 1.3217,                0.78171,                0.92096,                0.90887,                0.42454,                 1.8979,                 1.0522,                 1.7197,             0.00016589,             0.00016589,             0.00016589
                     69,                 1.0857,                0.78288,                 1.2647,                0.82763,                0.91429,                0.91476,                0.45343,                 1.8116,                 1.0489,                   1.64,             0.00014623,             0.00014623,             0.00014623
                     70,                 1.0736,                0.79402,                 1.2627,                0.80827,                0.96369,                0.91951,                0.43727,                 1.8371,                 1.0068,                 1.7001,              0.0001279,              0.0001279,              0.0001279
                     71,                 1.0427,                 0.7754,                 1.2555,                0.81025,                0.94286,                0.92848,                0.41884,                 1.8886,                 1.0228,                  1.741,             0.00011094,             0.00011094,             0.00011094
                     72,                 1.0551,                0.75221,                 1.2365,                0.81882,                0.90407,                0.92072,                0.43375,                 1.8494,                 1.0595,                  1.675,             9.5359e-05,             9.5359e-05,             9.5359e-05
                     73,                 1.0795,                0.76842,                 1.2598,                0.82741,                0.88571,                0.93661,                0.44928,                 1.8448,                 1.0225,                 1.6787,             8.1191e-05,             8.1191e-05,             8.1191e-05
                     74,                 1.0541,                0.76249,                 1.2527,                0.86571,                0.92106,                 0.9498,                0.44617,                 1.8634,                 0.9998,                 1.7159,             6.8454e-05,             6.8454e-05,             6.8454e-05
                     75,                 1.0548,                0.75026,                 1.2547,                0.86125,                0.88571,                0.94716,                 0.4455,                  1.888,                 1.0062,                 1.7208,             5.7169e-05,             5.7169e-05,             5.7169e-05
                     76,                 1.0279,                0.73822,                 1.2175,                0.88832,                0.90912,                0.94935,                0.44229,                 1.8663,                0.99618,                 1.7169,             4.7354e-05,             4.7354e-05,             4.7354e-05
                     77,                 1.0118,                 0.7414,                 1.2033,                0.88849,                0.91074,                0.94855,                0.46105,                 1.8346,                0.99174,                 1.6919,             3.9023e-05,             3.9023e-05,             3.9023e-05
                     78,                 1.0126,                0.73282,                   1.23,                0.84477,                0.88571,                0.94001,                0.46051,                 1.8318,                0.99406,                 1.6804,             3.2189e-05,             3.2189e-05,             3.2189e-05
                     79,                 1.0347,                0.75561,                 1.2265,                0.84601,                0.88571,                 0.9388,                0.45692,                  1.842,                 1.0143,                 1.6868,             2.6862e-05,             2.6862e-05,             2.6862e-05
                     80,                 1.0344,                0.78725,                 1.2508,                0.86097,                0.88571,                0.93643,                0.45575,                 1.8407,                 1.0353,                 1.6852,             2.3052e-05,             2.3052e-05,             2.3052e-05
