epoch,step,train_loss,train_accuracy_step,val_accuracy_step,val_accuracy_epoch,val_loss,train_accuracy_epoch
,138,,,0.375,,,
,139,,,0.40625,,,
,140,,,0.28125,,,
,141,,,0.34375,,,
,142,,,0.34375,,,
,143,,,0.34375,,,
,144,,,0.40625,,,
,145,,,0.40625,,,
,146,,,0.34375,,,
,147,,,0.25,,,
,148,,,0.40625,,,
,149,,,0.46875,,,
,150,,,0.28125,,,
,151,,,0.3125,,,
,152,,,0.34375,,,
,153,,,0.3125,,,
,154,,,0.34375,,,
,155,,,0.4375,,,
,156,,,0.28125,,,
,157,,,0.34375,,,
,158,,,0.40625,,,
,159,,,0.5,,,
,160,,,0.40625,,,
,161,,,0.34375,,,
,162,,,0.1875,,,
,163,,,0.3125,,,
,164,,,0.375,,,
,165,,,0.34375,,,
,166,,,0.5,,,
,167,,,0.40625,,,
,168,,,0.28125,,,
,169,,,0.46875,,,
,170,,,0.21875,,,
,171,,,0.34375,,,
,172,,,0.1875,,,
,173,,,0.25,,,
,174,,,0.375,,,
,175,,,0.3125,,,
,176,,,0.3125,,,
,177,,,0.25,,,
,178,,,0.34375,,,
,179,,,0.34375,,,
,180,,,0.28125,,,
,181,,,0.28125,,,
,182,,,0.4375,,,
,183,,,0.46875,,,
,184,,,0.3125,,,
,185,,,0.34375,,,
,186,,,0.21875,,,
,187,,,0.4375,,,
,188,,,0.5625,,,
,189,,,0.34375,,,
,190,,,0.34375,,,
,191,,,0.1875,,,
,192,,,0.3125,,,
,193,,,0.40625,,,
,194,,,0.3125,,,
,195,,,0.3125,,,
,196,,,0.28125,,,
,197,,,0.3125,,,
,198,,,0.4375,,,
,199,,,0.25,,,
,200,,,0.25,,,
,201,,,0.40625,,,
,202,,,0.1875,,,
,203,,,0.375,,,
,204,,,0.3125,,,
,205,,,0.34375,,,
,206,,,0.15625,,,
,207,,,0.21875,,,
,208,,,0.15625,,,
,209,,,0.25,,,
,210,,,0.34375,,,
,211,,,0.25,,,
,212,,,0.3125,,,
,213,,,0.40625,,,
,214,,,0.4375,,,
,215,,,0.25,,,
,216,,,0.375,,,
,217,,,0.5,,,
,218,,,0.46875,,,
,219,,,0.3125,,,
,220,,,0.34375,,,
,221,,,0.21875,,,
,222,,,0.3125,,,
,223,,,0.28125,,,
,224,,,0.28125,,,
,225,,,0.3125,,,
,226,,,0.34375,,,
,227,,,0.34375,,,
,228,,,0.3125,,,
,229,,,0.25,,,
,230,,,0.40625,,,
,231,,,0.40625,,,
,232,,,0.34375,,,
,233,,,0.34375,,,
,234,,,0.3125,,,
,235,,,0.3125,,,
,236,,,0.5,,,
,237,,,0.3125,,,
,238,,,0.28125,,,
,239,,,0.4375,,,
,240,,,0.34375,,,
,241,,,0.15625,,,
,242,,,0.3125,,,
,243,,,0.5625,,,
,244,,,0.28125,,,
,245,,,0.46875,,,
,246,,,0.1875,,,
,247,,,0.4375,,,
,248,,,0.15625,,,
,249,,,0.28125,,,
,250,,,0.21875,,,
,251,,,0.34375,,,
,252,,,0.34375,,,
,253,,,0.46875,,,
,254,,,0.4375,,,
,255,,,0.28125,,,
,256,,,0.34375,,,
,257,,,0.4375,,,
,258,,,0.25,,,
,259,,,0.25,,,
,260,,,0.34375,,,
,261,,,0.28125,,,
,262,,,0.40625,,,
,263,,,0.28125,,,
,264,,,0.28125,,,
,265,,,0.28125,,,
,266,,,0.25,,,
,267,,,0.3125,,,
,268,,,0.28125,,,
,269,,,0.46875,,,
,270,,,0.40625,,,
,271,,,0.3125,,,
,272,,,0.40625,,,
,273,,,0.21875,,,
,274,,,0.3125,,,
,275,,,0.34375,,,
,276,,,0.4375,,,
,277,,,0.25,,,
,278,,,0.34375,,,
,279,,,0.375,,,
,280,,,0.3125,,,
,281,,,0.4375,,,
,282,,,0.125,,,
,283,,,0.40625,,,
,284,,,0.5625,,,
,285,,,0.40625,,,
,286,,,0.25,,,
,287,,,0.40625,,,
,288,,,0.4375,,,
,289,,,0.28125,,,
,290,,,0.375,,,
,291,,,0.40625,,,
,292,,,0.34375,,,
,293,,,0.40625,,,
,294,,,0.34375,,,
,295,,,0.375,,,
,296,,,0.1875,,,
,297,,,0.28125,,,
,298,,,0.1875,,,
,299,,,0.28125,,,
,300,,,0.25,,,
,301,,,0.25,,,
,302,,,0.40625,,,
,303,,,0.25,,,
,304,,,0.34375,,,
,305,,,0.28125,,,
,306,,,0.28125,,,
,307,,,0.21875,,,
,308,,,0.40625,,,
,309,,,0.5,,,
,310,,,0.46875,,,
,311,,,0.34375,,,
,312,,,0.28125,,,
,313,,,0.34375,,,
,314,,,0.46875,,,
,315,,,0.4375,,,
,316,,,0.25,,,
,317,,,0.40625,,,
,318,,,0.3125,,,
,319,,,0.375,,,
,320,,,0.4375,,,
,321,,,0.5,,,
,322,,,0.34375,,,
,323,,,0.28125,,,
,324,,,0.34375,,,
,325,,,0.28125,,,
,326,,,0.46875,,,
,327,,,0.375,,,
,328,,,0.34375,,,
,329,,,0.34375,,,
,330,,,0.34375,,,
,331,,,0.3125,,,
,332,,,0.3125,,,
,333,,,0.375,,,
,334,,,0.40625,,,
,335,,,0.25,,,
,336,,,0.15625,,,
,337,,,0.28125,,,
,338,,,0.34375,,,
,339,,,0.4375,,,
,340,,,0.34375,,,
,341,,,0.5,,,
,342,,,0.40625,,,
,343,,,0.1875,,,
,344,,,0.34375,,,
,345,,,0.3125,,,
,346,,,0.34375,,,
,347,,,0.25,,,
,348,,,0.28125,,,
,349,,,0.34375,,,
,350,,,0.3125,,,
,351,,,0.40625,,,
,352,,,0.40625,,,
,353,,,0.125,,,
,354,,,0.375,,,
,355,,,0.34375,,,
,356,,,0.4375,,,
,357,,,0.4375,,,
,358,,,0.34375,,,
,359,,,0.34375,,,
,360,,,0.34375,,,
,361,,,0.5,,,
,362,,,0.3125,,,
,363,,,0.3125,,,
,364,,,0.40625,,,
,365,,,0.5,,,
,366,,,0.28125,,,
,367,,,0.375,,,
,368,,,0.375,,,
,369,,,0.34375,,,
,370,,,0.28125,,,
,371,,,0.28125,,,
,372,,,0.3125,,,
,373,,,0.28125,,,
,374,,,0.34375,,,
,375,,,0.25,,,
,376,,,0.3125,,,
,377,,,0.3125,,,
,378,,,0.375,,,
,379,,,0.3125,,,
,380,,,0.21875,,,
,381,,,0.5625,,,
,382,,,0.375,,,
,383,,,0.40625,,,
,384,,,0.25,,,
,385,,,0.28125,,,
,386,,,0.4375,,,
,387,,,0.25,,,
,388,,,0.28125,,,
