epoch,step,train_loss,train_accuracy_step,val_accuracy_step
0,49,2.1001791954040527,0.46875,
0,99,2.119302988052368,0.421875,
0,149,1.6169418096542358,0.53125,
0,199,1.5124837160110474,0.640625,
0,249,1.1996275186538696,0.6875,
0,299,1.454115867614746,0.59375,
0,349,1.3872380256652832,0.609375,
0,399,1.2244664430618286,0.65625,
0,449,0.9333146810531616,0.703125,
0,499,1.2294577360153198,0.65625,
0,549,0.9900931119918823,0.703125,
0,599,1.0970295667648315,0.703125,
0,649,1.0472924709320068,0.6875,
0,699,0.6624180674552917,0.8125,
0,749,0.7642456293106079,0.71875,
0,799,0.6370462775230408,0.8125,
0,849,1.003427505493164,0.6875,
0,899,0.966744065284729,0.75,
0,949,0.9673894643783569,0.6875,
0,999,0.7299730777740479,0.8125,
0,1049,0.8059340119361877,0.796875,
0,1099,0.48036113381385803,0.890625,
0,1149,0.725152850151062,0.828125,
0,1199,0.8604172468185425,0.75,
0,1249,0.5118584036827087,0.84375,
0,1299,0.3369922637939453,0.921875,
0,1349,0.6781042218208313,0.859375,
0,1399,0.6848282217979431,0.828125,
0,1449,0.5365705490112305,0.828125,
0,1499,0.545723557472229,0.78125,
0,1549,0.676175057888031,0.796875,
0,1599,0.7569549679756165,0.765625,
0,1649,0.6530749201774597,0.828125,
0,1699,0.5500747561454773,0.796875,
0,1749,0.517009437084198,0.859375,
0,1799,0.675553560256958,0.78125,
0,1849,0.5208552479743958,0.796875,
0,1899,0.4202724099159241,0.84375,
0,1949,0.538983941078186,0.84375,
0,1999,0.5472509264945984,0.828125,
0,2049,0.5401533842086792,0.796875,
0,2099,0.5677441358566284,0.796875,
0,2149,0.7328383922576904,0.734375,
0,2199,0.747413158416748,0.796875,
0,2249,0.8265522122383118,0.75,
0,2299,0.7529931664466858,0.78125,
0,2349,0.5251845717430115,0.8125,
0,2399,0.7366561889648438,0.8125,
0,2449,0.4097933769226074,0.859375,
0,2499,0.3866283595561981,0.859375,
0,2549,0.4687652885913849,0.859375,
0,2599,0.6136228442192078,0.828125,
0,2649,0.3845772445201874,0.859375,
0,2699,0.543433666229248,0.796875,
0,2749,0.6326878666877747,0.8125,
0,2799,0.5984904766082764,0.8125,
0,2849,0.4243815839290619,0.84375,
0,2899,0.539405882358551,0.859375,
0,2949,0.566861629486084,0.859375,
0,2999,0.5488331913948059,0.84375,
0,3049,0.5583831667900085,0.78125,
0,3099,0.5455161333084106,0.84375,
0,3149,0.3658582866191864,0.875,
0,3199,0.6310751438140869,0.78125,
0,3249,0.5820305943489075,0.8125,
0,3299,0.6978117227554321,0.734375,
0,3349,0.5796473026275635,0.875,
0,3399,0.6385055184364319,0.859375,
0,3449,0.22009894251823425,0.90625,
0,3499,0.25761860609054565,0.90625,
0,3549,0.4336337447166443,0.859375,
0,3599,0.34122222661972046,0.90625,
0,3649,0.2531360685825348,0.890625,
0,3699,0.4307412803173065,0.890625,
